title,pmc_url,pmcid,pmid,pub_year,found_accessions_text,mission_terms_text,organism_terms_text,assay_terms_text,validated_datasets,fallback_osdr_candidates,pubmed_meta
Knowledge Network Embedding of Transcriptomic Data from Spaceflown Mice Uncovers Signs and Symptoms Associated with Terrestrial Diseases,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7828077/,PMC7828077,,,GLDS-244;GLDS-245;GLDS-246;GLDS-288;GLDS-289;GLDS-4,ISS;RR-6;SpaceX-12;SpaceX-13;SpaceX-9;rodent research,Mice;Mus musculus;mice;mouse,Microarray;RNA-Seq;RNA-seq;RNAseq;Transcriptomic;microarray;transcriptomic;transcriptomics,[],[],{}
NASA GeneLab RNA-Seq Consensus Pipeline: Standardized Processing of Short-Read RNA-Seq Data,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8044432/,PMC8044432,,2021,GLDS-168;GLDS-245;GLDS-251,ISS;RR-1;RR-3;RR-6;Rodent Research;Shuttle,Arabidopsis thaliana;Drosophila;Mus musculus;mouse,RNA-seq;RNAseq;metabolomics;microarray;proteomic;transcriptomic;transcriptomics,[],[],{}
Spatially resolved multiomics on the neuronal effects induced by spaceflight in mice,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11166911/,PMC11166911,,,OSD-352,ISS;RR-10;RR-3;Rodent Research;rr3;shuttle,Mice;Mouse;mice;mouse,RNA-seq;RNAseq;Transcriptomic;Transcriptomics;transcriptomics,[],[],{}
Biological horizons: pioneering open science in the cosmos,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11167097/,PMC11167097,,,,,,,[],[],{}
Inspiration4 data access through the NASA Open Science Data Repository,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11094041/,PMC11094041,,2024,OSD-569;OSD-570;OSD-571;OSD-572;OSD-573;OSD-574;OSD-575;OSD-630;OSD-656;OSD-687,,mouse,RNA-Seq;RNA-seq;metabolomics;proteomics;transcriptomics,[],[],{}
NASA GeneLab derived microarray studies of Mus musculus and Homo sapiens organisms in altered gravitational conditions.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11053165/,PMC11053165,,2024,OSD-107;OSD-109;OSD-111;OSD-114;OSD-115;OSD-116;OSD-117;OSD-118;OSD-124;OSD-125;OSD-128;OSD-129;OSD-13;OSD-130;OSD-131;OSD-135;OSD-140;OSD-148;OSD-149;OSD-151;OSD-152;OSD-153;OSD-154;OSD-155;OSD-156;OSD-157;OSD-158;OSD-159;OSD-172;OSD-174;OSD-175;OSD-176;OSD-178;OSD-18;OSD-182;OSD-183;OSD-188;OSD-189;OSD-195;OSD-198;OSD-202;OSD-21;OSD-222;OSD-227;OSD-228;OSD-232;OSD-25;OSD-283;OSD-285;OSD-29;OSD-297;OSD-30;OSD-317;OSD-32;OSD-324;OSD-33;OSD-342;OSD-354;OSD-367;OSD-368;OSD-369;OSD-370;OSD-396;OSD-4;OSD-410;OSD-432;OSD-455;OSD-48;OSD-484;OSD-5;OSD-50;OSD-51;OSD-52;OSD-536;OSD-54;OSD-542;OSD-544;OSD-545;OSD-546;OSD-547;OSD-55;OSD-56;OSD-61;OSD-63;OSD-71;OSD-73;OSD-78;OSD-79;OSD-80;OSD-87;OSD-88;OSD-89;OSD-9;OSD-92;OSD-93;OSD-94,BION-M1;ISS;shuttle,Mus musculus;mice;mouse,Microarray;metabolomics;microarray;proteomics;transcriptomic;transcriptomics,[],[],{}
Celebrating 30 years of access to NASA space life sciences data,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11403809/,PMC11403809,,,,Shuttle,,,[],[],{}
Dichotomous effects on lymphatic transport with loss of caveolae in mice.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8513672/,PMC8513672,,2021,,,mice,,[],[],{}
Fungal diversity differences in the indoor dust microbiome from built environments on Earth and in space.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11126634/,PMC11126634,,,GLDS-623;OSD-694,ISS,mouse,,[],[],{}
Predicting how varying moisture conditions impact the microbiome of dust collected from the International Space Station,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11386075/,PMC11386075,,,GLDS-623;OSD-694,ISS;Shuttle;SpaceX-17;SpaceX-19;SpaceX16;shuttle,,y,[],[],{}
Aging and estrogen status: A possible endothelium-dependent vascular coupling mechanism in bone remodeling.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3502426/,PMC3502426,,2012,,RR023710,;mice;s,,[],[],{}
Chronic skeletal unloading of the rat femur: mechanisms and functional consequences of vascular remodeling.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3856860/,PMC3856860,,2013,,,;s,,[],[],{}
Differential effects of aging and exercise on intra-abdominal adipose arteriolar function and blood flow regulation.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3615599/,PMC3615599,,2012,,,s,,[],[],{}
Effects of spaceflight and ground recovery on mesenteric artery and vein constrictor properties in mice.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4050424/,PMC4050424,,2013,,shuttle,mice,,[],[],{}
"Spaceflight-induced alterations in cerebral artery vasoconstrictor, mechanical, and structural properties: Implications for elevated cerebral perfusion and intracranial pressure",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3659353/,PMC3659353,,2013,,shuttle,mice;mouse,,[],[],{}
Exercise training augments regional bone and marrow blood flow during exercise.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4169763/,PMC4169763,,2014,,,s,,[],[],{}
Effects of Skeletal Unloading on the Vasomotor Properties of the Rat Femur Principal Nutrient Artery,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4398884/,PMC4398884,,2014,,,;s,,[],[],{}
Type 2 diabetes alters bone and marrow blood flow and vascular control mechanisms in the ZDF rat.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4379453/,PMC4379453,,2015,,,;s,,[],[],{}
Spaceflight on the Bion-M1 biosatellite alters cerebral artery vasomotor and mechanical properties in mice,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4385880/,PMC4385880,,2014,,Bion-M1,mice,,[],[],{}
Apollo Lunar Astronauts Show Higher Cardiovascular Disease Mortality: Possible Deep Space Radiation Effects on the Vascular Endothelium,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4964660/,PMC4964660,,,,RR14311;RR1728;RR2289;RR4308;Shuttle;rr2598,;Mice;mice;mouse,,[],[],{}
Effects of age and exercise training on coronary microvascular smooth muscle phenotype and function,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5866446/,PMC5866446,,2017,,,s,,[],[],{}
Impact of Spaceflight and Artificial Gravity on the Mouse Retina: Biochemical and Proteomic Analysis.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6165321/,PMC6165321,,2018,,ISS;RR3309;Shuttle;SpaceX-9;shuttle,;Mice;Mouse;Mus musculus;mice;mouse;s,Proteomic;Proteomics;proteomic;proteomics;y,[],[],{}
Simulated microgravity induces regionally distinct neurovascular and structural remodeling of skeletal muscle and cutaneous arteries in the rat,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7339929/,PMC7339929,,2020,,,;mice;s,,[],[],{}
Spaceflight decelerates the epigenetic clock orchestrated with a global alteration in DNA methylome and transcriptome in the mouse retina,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8220224/,PMC8220224,,,,ISS;RR-1;RR-9;RR14977;RR1580;RR3309;Rodent Research;Shuttle;SpaceX4;shuttle,;Mouse;mice;mouse,RNA-Seq;RNA-seq;Transcriptomic;microarray;proteomic;proteomics;transcriptomic,[],[],{}
Development of otolith receptors in Japanese quail.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2910419/,PMC2910419,,2015,,,,,[],[],{}
Spatial and temporal characteristics of vestibular convergence,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3166430/,PMC3166430,,2011,,,,,[],[],{}
Bone remodeling is regulated by inner ear vestibular signals,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6615562/,PMC6615562,,2019,,,Mouse;mice,,[],[],{}
Simulated Microgravity Enhances Oligodendrocyte Mitochondrial Function and Lipid Metabolism,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7324008/,PMC7324008,,2016,,,,,[],[],{}
Human Neural Stem Cells Flown into Space Proliferate and Generate Young Neurons,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8412175/,PMC8412175,,,,ISS,;Mice;mouse,y,[],[],{}
Delayed Maturation of Oligodendrocyte Progenitors by Microgravity: Implications for Multiple Sclerosis and Space Flight,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10607959/,PMC10607959,,,,,,,[],[],{}
Space Microgravity Alters Neural Stem Cell Division: Implications for Brain Cancer Research on Earth and in Space,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9699585/,PMC9699585,,2022,,ISS;SpaceX-16,mice;mouse,proteomic;y,[],[],{}
Oligodendrocyte Progenitors Display Enhanced Proliferation and Autophagy after Space Flight,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9953055/,PMC9953055,,2020,,ISS;SpaceX-16;SpaceX-21,,Proteomic;Proteomics;proteomic;proteomics;y,[],[],{}
Metabolomics profile of the secretome of space-flown oligodendrocytes.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10528075/,PMC10528075,,,,ISS;SpaceX-21,,Metabolomics;metabolomic;metabolomics,[],[],{}
Metabolomic profiling of the secretome from human neural stem cells flown into space.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10813126/,PMC10813126,,2023,,ISS;RR14267;SpaceX-16,;Mouse;mice;mouse,Metabolomic;Metabolomics;Proteomic;metabolomic;metabolomics;proteomic;y,[],[],{}
"Strategies, research priorities, and challenges for the exploration of space beyond low-Earth orbit",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10390562/,PMC10390562,,2023,,ISS;shuttle,;mice;s,metabolomics;proteomics;transcriptomics,[],[],{}
Spaceflight Induces Specific Alterations in the Proteomes of Arabidopsis,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4290804/,PMC4290804,,2014,,ISS,Arabidopsis thaliana,Proteomics;proteomics,[],[],{}
The effect of spaceflight on the gravity-sensing auxin gradient of roots: GFP reporter gene microscopy on orbit.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5515520/,PMC5515520,,2015,,ISS,Arabidopsis thaliana,y,[],[],{}
Skewing in Arabidopsis roots involves disparate environmental signaling pathways.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5286820/,PMC5286820,,2017,,ISS,ARABIDOPSIS THALIANA;Arabidopsis thaliana,Microarray;Transcriptomics;microarray;transcriptomic,[],[],{}
"Data for characterization of SALK_084889, a T-DNA insertion line of Arabidopsis thaliana",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5470433/,PMC5470433,,2017,,,Arabidopsis thaliana,,[],[],{}
Genetic dissection of the Arabidopsis spaceflight transcriptome: Are some responses dispensable for the physiological adaptation of plants to spaceflight?,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5491145/,PMC5491145,,2017,GLDS-120,ISS;iss,Arabidopsis Thaliana;Arabidopsis thaliana,Proteomics;RNA-seq;RNASeq;RNAseq;Transcriptomics;microarray;proteomic;transcriptomic;transcriptomics;y,[],[],{}
Phenotypic characterization of an Arabidopsis T- DNA insertion line SALK_063500,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5996828/,PMC5996828,,2018,,,Arabidopsis thaliana,,[],[],{}
Utilization of single‐image normalized difference vegetation index (SI‐NDVI) for early plant stress detection,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6201722/,PMC6201722,,2017,,,Arabidopsis thaliana,,[],[],{}
Comparing RNA-Seq and microarray gene expression data in two zones of the Arabidopsis root apex relevant to spaceflight.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6240453/,PMC6240453,,2018,,,Arabidopsis thaliana,Microarray;microarray;transcriptomic;transcriptomics;y,[],[],{}
Spaceflight-induced alternative splicing during seedling development in Arabidopsis thaliana.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6447593/,PMC6447593,,2019,GLDS-218,ISS,Arabidopsis thaliana,RNA-Seq;RNA-seq;y,[],[],{}
The Plant Health Monitoring System of the EDEN ISS Space Greenhouse in Antarctica during the 2018 experiment phase,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7264257/,PMC7264257,,2020,,ISS,,,[],[],{}
Root skewing-associated genes impact the spaceflight response of Arabidopsis thaliana.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7064724/,PMC7064724,,2020,GLDS-218,ISS,Arabidopsis thaliana,Proteomics;RNA-Seq;RNA-seq;Transcriptomic;proteomic;proteomics;transcriptomic;transcriptomics;y,[],[],{}
Articular cartilage and sternal fibrocartilage respond differently to extended microgravity.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6379395/,PMC6379395,,2019,,BION-M1;Bion-M 1,Mice;Mouse;mice,Microarray;microarray;y,[],[],{}
Host-microbe interactions in microgravity: assessment and implications.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4187166/,PMC4187166,,,,ISS;shuttle,Arabidopsis thaliana;Drosophila;mice;mouse,Metabolomics;Microarray;proteomic,[],[],{}
Environmental cues and symbiont microbe-associated molecular patterns function in concert to drive the daily remodelling of the crypt-cell brush border of the Euprymna scolopes light organ,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5219934/,PMC5219934,,2016,,,,,[],[],{}
Symbiotic organs shaped by distinct modes of genome evolution in cephalopods.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6386654/,PMC6386654,,2018,,,,RNA-seq;transcriptomic;transcriptomics,[],[],{}
Modeled microgravity alters lipopolysaccharide and outer membrane vesicle production of the beneficial symbiont Vibrio fischeri,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7940393/,PMC7940393,,2021,,,;Drosophila,Microarray;Transcriptomic;proteomic;y,[],[],{}
Emergence of novel cephalopod gene regulation and expression through large-scale genome reorganization,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9023564/,PMC9023564,,,,,Drosophila;mouse,RNA-seq;y,[],[],{}
Modeled microgravity alters apoptotic gene expression and caspase activity in the squid-vibrio symbiosis,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9389742/,PMC9389742,,2022,,BION-M1;ISS;shuttle,Mus musculus;Rattus norvegicus;mice;mouse;s,Proteomics;Transcriptomic;y,[],[],{}
In vitro generation of mechanically functional cartilage grafts based on adult human stem cells and 3D-woven poly(epsilon-caprolactone) scaffolds,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2824534/,PMC2824534,,2003,,,,,[],[],{}
Chondrogenesis and mineralization during in vitro culture of human mesenchymal stem cells on three-dimensional woven scaffolds,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2991213/,PMC2991213,,,,,,,[],[],{}
Microbiome metadata standards: Report of the National Microbiome Data Collaborative's workshop and follow-on activities.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8269219/,PMC8269219,,2021,,,,,[],[],{}
Spaceflight alters host-gut microbiota interactions,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11362537/,PMC11362537,,,OSD-245;OSD-247;OSD-249,ISS;RR-1;RR-5;RR-6;RR1;RR3;RR6;Rodent Research;Shuttle;SpaceX-13;rodent research,;Mouse;mice;mouse;s,RNA-Seq;RNA-seq;RNASeq;metabolomic;metabolomics;proteomic;transcriptomic;transcriptomics,[],[],{}
Asparagine biosynthesis as a mechanism of increased host lethality induced by Serratia marcescens in simulated microgravity environments,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9111996/,PMC9111996,,2022,,,Drosophila,RNA-seq;Transcriptomic;metabolomics;proteomic,[],[],{}
Comparative genomic analysis of Cohnella hashimotonis sp. nov. isolated from the International Space Station.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10308117/,PMC10308117,,2023,,ISS,,y,[],[],{}
Characterization of metagenome-assembled genomes from the International Space Station,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10233975/,PMC10233975,,,,ISS;shuttle,,RNAseq,[],[],{}
Biocontrol in built environments to reduce pathogen exposure and infection risk.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10848226/,PMC10848226,,,,ISS,,Transcriptomics;metabolomic;metabolomics;transcriptomic,[],[],{}
Extracellular nucleotides elicit cytosolic free calcium oscillations in Arabidopsis.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3329368/,PMC3329368,,,,,Arabidopsis thaliana,,[],[],{}
"Calcium, mechanical signaling, and tip growth",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12008199/,PMC12008199,,,,,Arabidopsis thaliana;arabidopsis thaliana;mouse,RNA-seq;transcriptomic;y,[],[],{}
Gravitropism and mechanical signaling in plants.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12008199/,PMC12008199,,,,,Arabidopsis thaliana;arabidopsis thaliana;mouse,RNA-seq;transcriptomic;y,[],[],{}
"Salt stress-induced Ca2+ waves are associated with rapid, long-distance root-to-shoot signaling in plants.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4035928/,PMC4035928,,2013,,,Arabidopsis thaliana,,[],[],{}
Gravitropic signaling in plants,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12008199/,PMC12008199,,,,,Arabidopsis thaliana;arabidopsis thaliana;mouse,RNA-seq;transcriptomic;y,[],[],{}
Wortmannin-induced vacuole fusion enhances amyloplast dynamics in Arabidopsis zigzag1 hypocotyls.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5181587/,PMC5181587,,2016,,,Arabidopsis thaliana,y,[],[],{}
A ROS-assisted calcium wave dependent on AtRBOHD and TPC1 propagates the systemic response to salt stress in Arabidopsis roots,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4936552/,PMC4936552,,2016,,,Arabidopsis thaliana,,[],[],{}
"ROS, calcium and electric signals: Key mediators of rapid systemic signaling in plants",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7610290/,PMC7610290,,2020,,,Arabidopsis thaliana,,[],[],{}
Real-time In Vivo Recording of Arabidopsis Calcium Signals During Insect Feeding Using a Fluorescent Biosensor,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5614317/,PMC5614317,,2017,,,Arabidopsis thaliana;mice;zebrafish,y,[],[],{}
"Orchestrating rapid long-distance signaling in plants with Ca2+ , ROS, and electrical signals",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5677518/,PMC5677518,,2017,,,,,[],[],{}
"Glutamate triggers long-distance, calcium-based plant defense signaling.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11850895/,PMC11850895,,,,,Arabidopsis thaliana;mouse,RNA-seq,[],[],{}
Test of Arabidopsis Space Transcriptome: A discovery environment to explore multiple plant biology spaceflight experiments.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7076552/,PMC7076552,,2020,GLDS-120;GLDS-17;GLDS-208;GLDS-218;GLDS-37;GLDS-38;GLDS-44,ISS;Shuttle;rr3309;shuttle,Arabidopsis thaliana;mice,MicroArray;Microarray;RNA-Seq;RNA-seq;RNAseq;metabolomics;microarray;proteomic;proteomics;transcriptomic;transcriptomics,[],[],{}
Tonoplast-localized Ca2+ pumps regulate Ca2+ signals during pattern-triggered immunity in Arabidopsis thaliana.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7414185/,PMC7414185,,2004,,,Arabidopsis thaliana,,[],[],{}
The fast and the furious: Rapid long-range signaling in plants.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8133610/,PMC8133610,,2021,,,,,[],[],{}
Rad-Bio-App: A discovery environment for biologists to explore spaceflight-related radiation exposures,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8113475/,PMC8113475,,2021,GLDS-93,ISS;RR13804;RR14311;RR14979;RR15062;RR15338;RR3538;RR6;Rodent Research;Shuttle,Mouse;mice;mouse,RNA-Seq;RNA-seq;RNAseq;metabolomic;metabolomics;microarray;proteomic;proteomics;transcriptomic;transcriptomics,[],[],{}
The vacuolar H+/Ca transporter CAX1 participates in submergence and anoxia stress responses.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9706465/,PMC9706465,,2022,,,Arabidopsis thaliana,proteomic,[],[],{}
Meta-analysis of the space flight and microgravity response of the Arabidopsis plant transcriptome,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10027818/,PMC10027818,,,GLDS-120;GLDS-121;GLDS-136;GLDS-144;GLDS-147;GLDS-17;GLDS-205;GLDS-208;GLDS-213;GLDS-218;GLDS-251;GLDS-37;GLDS-38;GLDS-44;GLDS-46;GLDS-7,,Arabidopsis thaliana;mouse,Microarray;Proteomics;RNA-Seq;RNA-seq;RNAseq;Transcriptomics;microarray;proteomic;proteomics;transcriptomic;transcriptomics,[],[],{}
"Low-dose, ionizing radiation and age-related changes in skeletal microarchitecture",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3337602/,PMC3337602,,,,RR1310;RR1388;RR1463;RR1754,Mice;Mouse;mice;mouse,y,[],[],{}
Ionizing Radiation Stimulates Expression of Pro-Osteoclastogenic Genes in Marrow and Skeletal Tissue,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4490751/,PMC4490751,,2014,,RR1146;RR1463;RR1754;RR1931;RR3031,Mice;mice;mouse,,[],[],{}
Preservation of Multiple Mammalian Tissues to Maximize Science Return from Ground Based and Spaceflight Experiments,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5132293/,PMC5132293,,2016,,ISS;Rodent Research,;Mice;mice,RNAseq;microarray;proteomics;y,[],[],{}
Hindlimb Unloading: Rodent Analog for Microgravity,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11747068/,PMC11747068,,2025,,,;mice;mouse;s,RNA-seq;transcriptomic;transcriptomics,[],[],{}
Redox Signaling and Its Impact on Skeletal and Vascular Responses to Spaceflight,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5666834/,PMC5666834,,2017,,ISS;RR1204;RR1296;RR13747;RR13804;RR13887;RR1716;RR1754;RR3112;RR3309;RR3339;RR3523;RR4308;shuttle,;Drosophila;Mice;mice;mouse;s,,[],[],{}
Influence of social isolation during prolonged simulated weightlessness by hindlimb unloading,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6753329/,PMC6753329,,2019,,ISS;Rodent Research,;mice;mouse;s,,[],[],{}
Validation of a new Rodent experimental System to investigate consequences of Long Duration Space Habitation,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7012842/,PMC7012842,,,,BION-M1;Bion M1;Bion-M 1;Bion-M1;ISS;RR-1;RR3309;Rodent Research;Shuttle;SpaceX-4;iss;rodent research;shuttle,;Mice;Mouse;mice;mouse;s,Microarray;Proteomic;RNAseq,[],[],{}
Skeletal tissue regulation by catalase over-expression in mitochondria,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4405755/,PMC4405755,,2014,,,mice,,[],[],{}
Overexpression of catalase in mitochondria mitigates changes in hippocampal cytokine expression following simulated microgravity and isolation.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8260663/,PMC8260663,,2021,,ISS;RR14267;RR3339;Shuttle;shuttle,;Mouse;mice;mouse;s,Proteomic,[],[],{}
An extensive allelic series of Drosophila kae1 mutants reveals diverse and tissue-specific requirements for t6A biogenesis,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4647464/,PMC4647464,,2015,,,;Drosophila;Saccharomyces cerevisiae;mouse,,[],[],{}
Novel Organelles with Elements of Bacterial and Eukaryotic Secretion Systems Weaponize Parasites of Drosophila,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5659752/,PMC5659752,,2017,,,Drosophila,proteomics,[],[],{}
A combined computational strategy of sequence and structural analysis predicts the existence of a functional eicosanoid pathway in Drosophila melanogaster.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6372189/,PMC6372189,,,,,,,[],[],{}
Immune suppressive extracellular vesicle proteins of Leptopilina heterotoma are encoded in the wasp genome.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6945029/,PMC6945029,,2019,,,Drosophila;mouse,Proteomics;RNA-Seq;RNA-seq;proteomic;proteomics;transcriptomic;y,[],[],{}
Spaceflight and simulated microgravity conditions increase virulence of Serratia marcescens in the Drosophila melanogaster infection model.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7000411/,PMC7000411,,,,ISS,Drosophila;Saccharomyces cerevisiae;mice,Microarray;RNA-Seq;RNA-seq;Transcriptomic;proteomic;transcriptomic,[],[],{}
A parasitoid wasp of Drosophila employs preemptive and reactive strategies to deplete its host's blood cells,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8191917/,PMC8191917,,2021,,,Drosophila;Mouse;drosophila;mouse,proteomic;transcriptomic;y,[],[],{}
In Silico Analysis of a Drosophila Parasitoid Venom Peptide Reveals Prevalence of the Cation–Polar–Cation Clip Motif in Knottin Proteins,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9865768/,PMC9865768,,,,,Arabidopsis thaliana;Drosophila,Proteomic;proteomic;proteomics;transcriptomic;y,[],[],{}
Drosophila parasitoids go to space: Unexpected effects of spaceflight on hosts and their parasitoids.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10797188/,PMC10797188,,2023,GLDS-583;GLDS-586;GLDS-587;OSD-588;OSD-609;OSD-610,ISS;SpaceX-14,Drosophila;mouse,RNA-Seq;RNA-seq;RNAseq;transcriptomic;y,[],[],{}
Drosophila parasitoids go to space: Unexpected effects of spaceflight on hosts and their parasitoids,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10797188/,PMC10797188,,2023,GLDS-583;GLDS-586;GLDS-587;OSD-588;OSD-609;OSD-610,ISS;SpaceX-14,Drosophila;mouse,RNA-Seq;RNA-seq;RNAseq;transcriptomic;y,[],[],{}
Simultaneous exposure of cultured human lymphoblastic cells to simulated microgravity and radiation increases chromosome aberrations,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7555395/,PMC7555395,,,,ISS;RR13721;RR13935;RR15046;RR15250;RR15366;RR1680;RR3291;RR3323;RR3493,;mice,,[],[],{}
Genes required for survival in microgravity revealed by genome-wide yeast deletion collections cultured during spaceflight.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4309212/,PMC4309212,,,,ISS;shuttle,Saccharomyces cerevisiae,y,[],[],{}
Physical Forces Modulate Oxidative Status and Stress Defense Meditated Metabolic Adaptation of Yeast Colonies: Spaceflight and Microgravity Simulations,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6560652/,PMC6560652,,2005,,ISS;SpaceX-8,Saccharomyces cerevisiae,,[],[],{}
Effects of space flight on mouse liver versus kidney: Gene pathway analyses.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6321533/,PMC6321533,,2005,,shuttle,;Mouse;mice;mouse;s,metabolomic;microarray;transcriptomic;y,[],[],{}
Yeast in Space,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12040010/,PMC12040010,,,,,s,,[],[],{}
Endocrine Effects of Space Flight,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11833055/,PMC11833055,,,GLDS-32;GLDS-352,Bion-M1;Rodent Research,;Mice;Mouse;mice;mouse;s,RNA-seq;Transcriptomic;Transcriptomics;metabolomic;metabolomics;transcriptomic;transcriptomics,[],[],{}
Role of shear stress on renal proximal tubular cells for nephrotoxicity assays,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9146534/,PMC9146534,,,,,;mouse;s,,[],[],{}
Bone hemodynamic responses to changes in external pressure.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11492218/,PMC11492218,,,,,,,[],[],{}
